##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1181.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3671833
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.000005446870816	32.0	32.0	32.0	32.0	32.0
2	31.263566997736554	32.0	32.0	32.0	32.0	32.0
3	31.46054872321263	32.0	32.0	32.0	32.0	32.0
4	31.585773372590747	32.0	32.0	32.0	32.0	32.0
5	31.72708944006985	32.0	32.0	32.0	32.0	32.0
6	35.04758222936609	36.0	36.0	36.0	36.0	36.0
7	35.01662384972301	36.0	36.0	36.0	36.0	36.0
8	34.929586122244665	36.0	36.0	36.0	32.0	36.0
9	35.116926886380725	36.0	36.0	36.0	36.0	36.0
10-11	35.041151108996516	36.0	36.0	36.0	36.0	36.0
12-13	35.02515582816538	36.0	36.0	36.0	36.0	36.0
14-15	34.967229446437244	36.0	36.0	36.0	34.0	36.0
16-17	34.963621303038565	36.0	36.0	36.0	36.0	36.0
18-19	34.961269616564806	36.0	36.0	36.0	36.0	36.0
20-21	34.946875579581096	36.0	36.0	36.0	34.0	36.0
22-23	34.8965309696819	36.0	36.0	36.0	32.0	36.0
24-25	34.86443596427179	36.0	36.0	36.0	32.0	36.0
26-27	34.778431372015014	36.0	36.0	36.0	32.0	36.0
28-29	34.73955800822096	36.0	36.0	36.0	32.0	36.0
30-31	34.71769590283654	36.0	36.0	36.0	32.0	36.0
32-33	34.67016215062068	36.0	36.0	36.0	32.0	36.0
34-35	34.625229823905386	36.0	36.0	36.0	32.0	36.0
36-37	34.59158851777302	36.0	36.0	36.0	32.0	36.0
38-39	34.580613596110624	36.0	36.0	36.0	32.0	36.0
40-41	34.565023243778114	36.0	36.0	36.0	32.0	36.0
42-43	34.52093133668228	36.0	36.0	36.0	32.0	36.0
44-45	34.470352128526585	36.0	36.0	36.0	32.0	36.0
46-47	34.47041248215508	36.0	36.0	36.0	32.0	36.0
48-49	34.43534863796282	36.0	36.0	36.0	32.0	36.0
50-51	34.40321059785866	36.0	36.0	36.0	32.0	36.0
52-53	34.32631431996458	36.0	36.0	36.0	32.0	36.0
54-55	34.266527545370536	36.0	36.0	36.0	32.0	36.0
56-57	34.17883084983768	36.0	36.0	36.0	32.0	36.0
58-59	34.16045082105441	36.0	36.0	36.0	32.0	36.0
60-61	34.11961065908199	36.0	36.0	36.0	32.0	36.0
62-63	34.06573720291048	36.0	36.0	36.0	32.0	36.0
64-65	34.02044004974764	36.0	36.0	36.0	32.0	36.0
66-67	33.93975846954955	36.0	36.0	36.0	32.0	36.0
68-69	33.93754202501329	36.0	36.0	36.0	32.0	36.0
70-71	33.88768584906271	36.0	36.0	36.0	32.0	36.0
72-73	33.89559334299067	36.0	36.0	36.0	32.0	36.0
74-75	34.3797331311099	36.0	36.0	36.0	32.0	36.0
76	35.284219145959796	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-1.0880445657335258E-5
11101	2	0.1654292818911145
11101	3	0.25063308282945584
11101	4	-0.0076183515042735905
11101	5	0.0612331388291274
11101	6	-0.08542917774320102
11101	7	0.35200377753975687
11101	8	-0.014046217235666347
11101	9	-0.055649741015017185
11101	10-11	0.16906466576686086
11101	12-13	0.1738608931532184
11101	14-15	0.3230015772843302
11101	16-17	0.2819189642070228
11101	18-19	0.21235217746701807
11101	20-21	0.2559651514644159
11101	22-23	0.21035834051577496
11101	24-25	0.18067853437084835
11101	26-27	0.12200249331237245
11101	28-29	0.31413673153561206
11101	30-31	0.2766048083609576
11101	32-33	0.28545413758799754
11101	34-35	0.549410949638613
11101	36-37	0.4094211815948725
11101	38-39	0.33649521678532324
11101	40-41	0.395670213525257
11101	42-43	0.39748662290325143
11101	44-45	0.4535746304939039
11101	46-47	0.2970802576563898
11101	48-49	0.37620386662919003
11101	50-51	0.2628893858589265
11101	52-53	0.549743909392447
11101	54-55	0.30120669472994166
11101	56-57	0.10745745516909722
11101	58-59	0.5195285079637273
11101	60-61	0.4302825425459744
11101	62-63	0.2923057850179376
11101	64-65	0.6013190267318649
11101	66-67	0.5506254328660773
11101	68-69	0.48112482228730613
11101	70-71	0.558715213324831
11101	72-73	0.48373201442589675
11101	74-75	0.32716971622181035
11101	76	0.1722953787281014
11102	1	-1.0880445657335258E-5
11102	2	-0.05336318009529961
11102	3	-0.008488830251529578
11102	4	0.02530923395890028
11102	5	-0.007749391096464109
11102	6	0.2271422662339404
11102	7	0.2019134615686582
11102	8	0.14557580368528278
11102	9	0.10732745083227968
11102	10-11	0.11483733911961025
11102	12-13	0.3058529669157508
11102	14-15	0.20799632008601066
11102	16-17	0.03358172167494189
11102	18-19	0.10342100632498585
11102	20-21	0.2538413781440241
11102	22-23	0.3220778487655309
11102	24-25	0.2381039899947055
11102	26-27	0.11638874910876496
11102	28-29	0.23324462542108648
11102	30-31	0.19381067485508652
11102	32-33	0.3654255599971421
11102	34-35	0.3210672367086005
11102	36-37	0.3447701571397701
11102	38-39	0.3310113298018109
11102	40-41	0.27795364334675554
11102	42-43	0.5112896434315175
11102	44-45	0.3409252023470444
11102	46-47	0.40426789122642504
11102	48-49	0.30276879918769595
11102	50-51	0.26127877437655656
11102	52-53	0.6564149559649195
11102	54-55	0.3460560502784773
11102	56-57	0.5751048458739021
11102	58-59	0.6099744844011497
11102	60-61	0.2689241348054594
11102	62-63	0.4155626506457182
11102	64-65	0.37465418325199806
11102	66-67	0.4074375571161113
11102	68-69	0.31632689729676144
11102	70-71	0.5696440766830122
11102	72-73	0.4790202328164881
11102	74-75	0.2619287787617779
11102	76	-0.037665341645428896
11103	1	-1.0880445657335258E-5
11103	2	0.07357260959415513
11103	3	0.048884081504130705
11103	4	0.12428560989412674
11103	5	0.10392171682605422
11103	6	0.19016624901553314
11103	7	0.1946712252255196
11103	8	0.1630939957525186
11103	9	0.34245735756591245
11103	10-11	0.22533749285538818
11103	12-13	0.29602284495203435
11103	14-15	0.15994043713018868
11103	16-17	0.41647156998897117
11103	18-19	0.3313285342536503
11103	20-21	0.14754525741018654
11103	22-23	0.3046262755360587
11103	24-25	0.27126671931723934
11103	26-27	0.3050103797329342
11103	28-29	0.33622325614773985
11103	30-31	0.11071648606754536
11103	32-33	0.3834459556105472
11103	34-35	0.19600382069958044
11103	36-37	0.3435821366268925
11103	38-39	0.4619492119427093
11103	40-41	0.4499703004292783
11103	42-43	0.40428532609274725
11103	44-45	0.43388166112219295
11103	46-47	0.4961515816023194
11103	48-49	0.3922475449546923
11103	50-51	0.47038031221466525
11103	52-53	0.5030661563737056
11103	54-55	0.3895553731843364
11103	56-57	0.5286924902318262
11103	58-59	0.29819372964097113
11103	60-61	0.37344870798481367
11103	62-63	0.5631234975033621
11103	64-65	0.6832008722186771
11103	66-67	0.3461405833526783
11103	68-69	0.6366606470844189
11103	70-71	0.47367485254135744
11103	72-73	0.6484809455971927
11103	74-75	0.5549765677041307
11103	76	0.1403275833219908
11104	1	-1.0880445657335258E-5
11104	2	0.21569168236507608
11104	3	0.08375091818900415
11104	4	0.20707500755538177
11104	5	0.17519620661291313
11104	6	0.3167807773291429
11104	7	0.25609717155945333
11104	8	0.1437836981530225
11104	9	0.3302170612218944
11104	10-11	0.20508685338486998
11104	12-13	0.361698401009221
11104	14-15	0.24011425136733067
11104	16-17	0.16311886759988425
11104	18-19	0.22215566733326852
11104	20-21	0.15187095683304364
11104	22-23	0.14164784569773303
11104	24-25	0.11858576215954741
11104	26-27	0.14792763345276683
11104	28-29	0.09594403231340465
11104	30-31	0.3276945075578084
11104	32-33	0.3895870284499523
11104	34-35	0.44562432332276813
11104	36-37	0.103536740761065
11104	38-39	0.3740273918174921
11104	40-41	0.27806021790967606
