##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	0859.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	39707152
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.238160923754997	32.0	32.0	32.0	32.0	32.0
2	31.398637479716502	32.0	32.0	32.0	32.0	32.0
3	31.479783919027987	32.0	32.0	32.0	32.0	32.0
4	31.517280388177927	32.0	32.0	32.0	32.0	32.0
5	31.538004135879603	32.0	32.0	32.0	32.0	32.0
6	34.94832157692901	36.0	36.0	36.0	36.0	36.0
7	34.93030882698412	36.0	36.0	36.0	36.0	36.0
8	34.92726957601996	36.0	36.0	36.0	36.0	36.0
9	34.93257781368958	36.0	36.0	36.0	36.0	36.0
10-11	34.94247245433266	36.0	36.0	36.0	36.0	36.0
12-13	34.95767504302499	36.0	36.0	36.0	36.0	36.0
14-15	34.960104580152205	36.0	36.0	36.0	36.0	36.0
16-17	34.95089742271115	36.0	36.0	36.0	36.0	36.0
18-19	34.942422198902605	36.0	36.0	36.0	36.0	36.0
20-21	34.931611098675624	36.0	36.0	36.0	36.0	36.0
22-23	34.906359426130585	36.0	36.0	36.0	36.0	36.0
24-25	34.863897806118146	36.0	36.0	36.0	32.0	36.0
26-27	34.79475963171572	36.0	36.0	36.0	32.0	36.0
28-29	34.75829244817155	36.0	36.0	36.0	32.0	36.0
30-31	34.72789316393178	36.0	36.0	36.0	32.0	36.0
32-33	34.698413210295215	36.0	36.0	36.0	32.0	36.0
34-35	34.66529353452496	36.0	36.0	36.0	32.0	36.0
36-37	34.63433192424206	36.0	36.0	36.0	32.0	36.0
38-39	34.604039594839264	36.0	36.0	36.0	32.0	36.0
40-41	34.577147681894765	36.0	36.0	36.0	32.0	36.0
42-43	34.54724480470759	36.0	36.0	36.0	32.0	36.0
44-45	34.519286753627156	36.0	36.0	36.0	32.0	36.0
46-47	34.4860385216778	36.0	36.0	36.0	32.0	36.0
48-49	34.449638034945245	36.0	36.0	36.0	32.0	36.0
50-51	34.41199872879311	36.0	36.0	36.0	32.0	36.0
52-53	34.37217368268303	36.0	36.0	36.0	32.0	36.0
54-55	34.32172452929633	36.0	36.0	36.0	32.0	36.0
56-57	34.26419293892766	36.0	36.0	36.0	32.0	36.0
58-59	34.215465089949674	36.0	36.0	36.0	32.0	36.0
60-61	34.16967949317658	36.0	36.0	36.0	32.0	36.0
62-63	34.117515580704506	36.0	36.0	36.0	32.0	36.0
64-65	34.04698810047283	36.0	36.0	36.0	32.0	36.0
66-67	33.98493085678852	36.0	36.0	36.0	32.0	36.0
68-69	33.934532279250305	36.0	36.0	36.0	32.0	36.0
70-71	33.87969443538732	36.0	36.0	36.0	32.0	36.0
72-73	33.83004658039845	36.0	36.0	36.0	32.0	36.0
74-75	33.77807450462193	36.0	36.0	36.0	27.0	36.0
76	32.97013575020954	36.0	32.0	36.0	21.0	36.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
11101	1	0.04653822186132217
11101	2	0.02882477899289526
11101	3	0.04982791737986858
11101	4	0.07881680230194021
11101	5	0.08900617239488184
11101	6	0.16494978215575884
11101	7	0.15470375439284823
11101	8	0.20480172657187268
11101	9	0.16485386225804888
11101	10-11	0.1532190681353498
11101	12-13	0.23634834682266614
11101	14-15	0.18821326633491964
11101	16-17	0.16189934404273032
11101	18-19	0.18673252624540027
11101	20-21	0.21154528173318
11101	22-23	0.23534292538791135
11101	24-25	0.22301452202884775
11101	26-27	0.1699661341145955
11101	28-29	0.1814419093325057
11101	30-31	0.29634086164610807
11101	32-33	0.1966549931829178
11101	34-35	0.24501248446566848
11101	36-37	0.2486836251021387
11101	38-39	0.2614602472378351
11101	40-41	0.1882910339593522
11101	42-43	0.2659844709418948
11101	44-45	0.31256784080112254
11101	46-47	0.24925543552008378
11101	48-49	0.3274955608550485
11101	50-51	0.2564925816898338
11101	52-53	0.26914988845489063
11101	54-55	0.28602066580397434
11101	56-57	0.2856347202028715
11101	58-59	0.36393854063820896
11101	60-61	0.3582698415141863
11101	62-63	0.3005902713572155
11101	64-65	0.46779091062354894
11101	66-67	0.4233313298692991
11101	68-69	0.37078529675824257
11101	70-71	0.36248474320208857
11101	72-73	0.41088244897347437
11101	74-75	0.376381403130722
11101	76	0.6421142433265956
11102	1	0.14151186627068313
11102	2	0.1371101909752106
11102	3	0.1323465280082985
11102	4	0.10892679953331097
11102	5	0.08790137403201115
11102	6	0.16758714181580814
11102	7	0.21308264779388963
11102	8	0.24729570459387418
11102	9	0.27861099796682964
11102	10-11	0.27945634436964895
11102	12-13	0.27001911600740414
11102	14-15	0.26107670240853764
11102	16-17	0.25303217582443693
11102	18-19	0.2461281242676776
11102	20-21	0.20859436999089098
11102	22-23	0.20871941846450426
11102	24-25	0.2631315664208813
11102	26-27	0.24820609374511804
11102	28-29	0.24949917054679105
11102	30-31	0.2902022795280601
11102	32-33	0.2573127413483789
11102	34-35	0.29935256740033367
11102	36-37	0.3221607540036473
11102	38-39	0.2956090323575751
11102	40-41	0.34500853030666434
11102	42-43	0.26707137623364474
11102	44-45	0.31798191722937474
11102	46-47	0.3183734284706645
11102	48-49	0.3868561290983408
11102	50-51	0.34444224740831686
11102	52-53	0.37598128238439443
11102	54-55	0.3114729272877881
11102	56-57	0.33548913438682604
11102	58-59	0.34863097313913727
11102	60-61	0.422227342930249
11102	62-63	0.4649590142504394
11102	64-65	0.3677665941092343
11102	66-67	0.36481469169782343
11102	68-69	0.365305274524907
11102	70-71	0.3928788242978172
11102	72-73	0.420040239287367
11102	74-75	0.4057834111189962
11102	76	0.49661667541111854
11103	1	0.10170480040930485
11103	2	0.10915811167673439
11103	3	0.0635681358316802
11103	4	0.056327870222762755
11103	5	0.0887961990329913
11103	6	0.1900173218226584
11103	7	0.21545370067185843
11103	8	0.22978815117400586
11103	9	0.29555314022923085
11103	10-11	0.20445039470578052
11103	12-13	0.2455914658926588
11103	14-15	0.21312288391343515
11103	16-17	0.17405821293156265
11103	18-19	0.21009533179856987
11103	20-21	0.1960591352840808
11103	22-23	0.2076147507774735
