##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1186.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3141990
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.000008911549685	32.0	32.0	32.0	32.0	32.0
2	30.725851769101748	32.0	32.0	32.0	32.0	32.0
3	31.221462830881066	32.0	32.0	32.0	32.0	32.0
4	31.452576233533524	32.0	32.0	32.0	32.0	32.0
5	31.709937969248788	32.0	32.0	32.0	32.0	32.0
6	34.85739515402659	36.0	36.0	36.0	32.0	36.0
7	34.82150420593318	36.0	36.0	36.0	32.0	36.0
8	34.727185955397694	36.0	36.0	36.0	32.0	36.0
9	34.94699696689041	36.0	36.0	36.0	32.0	36.0
10-11	34.862450707990796	36.0	36.0	36.0	32.0	36.0
12-13	34.85919083128845	36.0	36.0	36.0	32.0	36.0
14-15	34.791843545014466	36.0	36.0	36.0	32.0	36.0
16-17	34.79724346672013	36.0	36.0	36.0	32.0	36.0
18-19	34.799967218227934	36.0	36.0	36.0	32.0	36.0
20-21	34.78896527360049	36.0	36.0	36.0	32.0	36.0
22-23	34.74138619155376	36.0	36.0	36.0	32.0	36.0
24-25	34.70348489333193	36.0	36.0	36.0	32.0	36.0
26-27	34.607857440666585	36.0	36.0	36.0	32.0	36.0
28-29	34.56917733665607	36.0	36.0	36.0	32.0	36.0
30-31	34.545720069128166	36.0	36.0	36.0	32.0	36.0
32-33	34.50348218804007	36.0	36.0	36.0	32.0	36.0
34-35	34.453426490854525	36.0	36.0	36.0	32.0	36.0
36-37	34.41415368170816	36.0	36.0	36.0	32.0	36.0
38-39	34.39632000790046	36.0	36.0	36.0	32.0	36.0
40-41	34.37991121859302	36.0	36.0	36.0	32.0	36.0
42-43	34.32980376155602	36.0	36.0	36.0	32.0	36.0
44-45	34.27104431439708	36.0	36.0	36.0	32.0	36.0
46-47	34.26540028763253	36.0	36.0	36.0	32.0	36.0
48-49	34.220167299031665	36.0	36.0	36.0	32.0	36.0
50-51	34.176982361781796	36.0	36.0	36.0	32.0	36.0
52-53	34.103807799946026	36.0	36.0	36.0	32.0	36.0
54-55	34.02896269639251	36.0	36.0	36.0	32.0	36.0
56-57	33.94134707250706	36.0	36.0	36.0	32.0	36.0
58-59	33.906395118829366	36.0	36.0	36.0	32.0	36.0
60-61	33.86597930173291	36.0	36.0	36.0	32.0	36.0
62-63	33.806593028029305	36.0	36.0	36.0	32.0	36.0
64-65	33.75757557791389	36.0	36.0	36.0	32.0	36.0
66-67	33.65795209698779	36.0	36.0	36.0	27.0	36.0
68-69	33.647325947309525	36.0	36.0	36.0	27.0	36.0
70-71	33.600733757953144	36.0	36.0	36.0	27.0	36.0
72-73	33.60382030207691	36.0	36.0	36.0	27.0	36.0
74-75	34.15808577015201	36.0	36.0	36.0	32.0	36.0
76	35.250122559061964	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0
11101	2	-0.40885770258156384
11101	3	-0.032112609933061975
11101	4	0.16318341969519778
11101	5	0.10094216854113114
11101	6	0.46843548019737824
11101	7	0.27001430311332086
11101	8	0.4999533522043933
11101	9	0.29786446038514214
11101	10-11	0.19147089882535795
11101	12-13	0.30603805122837713
11101	14-15	0.3617467826456462
11101	16-17	0.2790671218928438
11101	18-19	0.2865035323119969
11101	20-21	0.22940510584950147
11101	22-23	0.10389879987894801
11101	24-25	0.12094242303916047
11101	26-27	0.13207916083230486
11101	28-29	0.18296999665416536
11101	30-31	0.40005417587475733
11101	32-33	0.25875867334536906
11101	34-35	0.34823873611330924
11101	36-37	0.6607612261208615
11101	38-39	0.5035635885920087
11101	40-41	0.455469073874049
11101	42-43	0.5800399103448868
11101	44-45	0.5563884660175376
11101	46-47	0.5648300724988218
11101	48-49	0.45404633173269104
11101	50-51	0.3950217418121724
11101	52-53	0.7161504023736427
11101	54-55	0.3065361518187615
11101	56-57	0.7856891483287356
11101	58-59	0.6098041439465476
11101	60-61	0.496046076643637
11101	62-63	0.5962278515011477
11101	64-65	0.446310847701092
11101	66-67	0.5436866671119418
11101	68-69	0.5462658075313556
11101	70-71	0.5886419099570261
11101	72-73	0.45440126145462756
11101	74-75	0.3702645740496422
11101	76	0.1456877113173931
11102	1	0.0
11102	2	0.26621176943113767
11102	3	-0.16341082195308232
11102	4	0.08219111805044221
11102	5	0.3075192416093415
11102	6	0.33872325390154145
11102	7	0.4276554461128015
11102	8	0.09928860039656229
11102	9	0.2538265991112212
11102	10-11	0.39578186100300883
11102	12-13	0.08926591164605924
11102	14-15	0.452608196683272
11102	16-17	0.1385050018483227
11102	18-19	0.28183022591123574
11102	20-21	0.14598322975488287
11102	22-23	0.2580274223481851
11102	24-25	0.3959105087251942
11102	26-27	0.15919367873156176
11102	28-29	0.3141251780597969
11102	30-31	0.21166436977367908
11102	32-33	0.35310536398668546
11102	34-35	0.2726397589281504
11102	36-37	0.058603065743341176
11102	38-39	0.23397138169329423
11102	40-41	0.3149149726770659
11102	42-43	0.23161482941623035
11102	44-45	0.23125600109283084
11102	46-47	0.3550392007172718
11102	48-49	0.6494210994201168
11102	50-51	0.19651439002747395
11102	52-53	0.39422560045905186
11102	54-55	0.6294222393146427
11102	56-57	0.5205364176588745
11102	58-59	0.3180933568819526
11102	60-61	0.3782941187952531
11102	62-63	0.41411184144935476
11102	64-65	0.4266951965242285
11102	66-67	0.12895155433979255
11102	68-69	0.6031116273381656
11102	70-71	0.3900364270926815
11102	72-73	0.6370041172573195
11102	74-75	0.39865369106249204
11102	76	0.11872174151067583
11103	1	0.0
11103	2	0.24051002517793307
11103	3	0.08384743216293344
11103	4	0.351276319417579
11103	5	0.21977827713992326
11103	6	0.17548914889301415
11103	7	0.3809472399008911
11103	8	0.4417384369789943
11103	9	0.3768314438815139
11103	10-11	0.19646933594678018
11103	12-13	0.3416254438845101
11103	14-15	0.2573335464512354
11103	16-17	0.3426402137475648
11103	18-19	0.28834569452214964
11103	20-21	0.2952818252471374
11103	22-23	0.3353925603867651
11103	24-25	0.3002832027028717
