##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	0866.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	38784356
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.00000928209302	32.0	32.0	32.0	32.0	32.0
2	31.370088161319476	32.0	32.0	32.0	32.0	32.0
3	31.484394017010363	32.0	32.0	32.0	32.0	32.0
4	31.542379329438912	32.0	32.0	32.0	32.0	32.0
5	31.714295990888697	32.0	32.0	32.0	32.0	32.0
6	34.991654367033966	36.0	36.0	36.0	36.0	36.0
7	34.98084382270006	36.0	36.0	36.0	36.0	36.0
8	34.97908602633495	36.0	36.0	36.0	36.0	36.0
9	34.98685552494413	36.0	36.0	36.0	36.0	36.0
10-11	34.99196727670301	36.0	36.0	36.0	36.0	36.0
12-13	35.00446919886977	36.0	36.0	36.0	36.0	36.0
14-15	35.00517925320199	36.0	36.0	36.0	36.0	36.0
16-17	34.99610611041214	36.0	36.0	36.0	36.0	36.0
18-19	34.9844377717655	36.0	36.0	36.0	36.0	36.0
20-21	34.97058200476501	36.0	36.0	36.0	36.0	36.0
22-23	34.94307044830137	36.0	36.0	36.0	34.0	36.0
24-25	34.89639728709173	36.0	36.0	36.0	32.0	36.0
26-27	34.83876705339648	36.0	36.0	36.0	32.0	36.0
28-29	34.80705181749054	36.0	36.0	36.0	32.0	36.0
30-31	34.775467317286385	36.0	36.0	36.0	32.0	36.0
32-33	34.742012217503365	36.0	36.0	36.0	32.0	36.0
34-35	34.70696919654925	36.0	36.0	36.0	32.0	36.0
36-37	34.68155812030493	36.0	36.0	36.0	32.0	36.0
38-39	34.66249632861092	36.0	36.0	36.0	32.0	36.0
40-41	34.643000964789564	36.0	36.0	36.0	32.0	36.0
42-43	34.62262380043133	36.0	36.0	36.0	32.0	36.0
44-45	34.602555966221445	36.0	36.0	36.0	32.0	36.0
46-47	34.58166270591774	36.0	36.0	36.0	32.0	36.0
48-49	34.557557411878506	36.0	36.0	36.0	32.0	36.0
50-51	34.53031096302379	36.0	36.0	36.0	32.0	36.0
52-53	34.5016026560012	36.0	36.0	36.0	32.0	36.0
54-55	34.46596852961076	36.0	36.0	36.0	32.0	36.0
56-57	34.42265367861026	36.0	36.0	36.0	32.0	36.0
58-59	34.3882282457076	36.0	36.0	36.0	32.0	36.0
60-61	34.35275320990961	36.0	36.0	36.0	32.0	36.0
62-63	34.309759965934745	36.0	36.0	36.0	32.0	36.0
64-65	34.254200481523085	36.0	36.0	36.0	32.0	36.0
66-67	34.20848684861279	36.0	36.0	36.0	32.0	36.0
68-69	34.17051186780314	36.0	36.0	36.0	32.0	36.0
70-71	34.13786021300842	36.0	36.0	36.0	32.0	36.0
72-73	34.170040518036295	36.0	36.0	36.0	32.0	36.0
74-75	34.59975726188007	36.0	36.0	36.0	32.0	36.0
76	35.426050333724255	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
11101	1	-2.320399659083705E-5
11101	2	0.07160917554819335
11101	3	0.07851371724019884
11101	4	0.06634326846714345
11101	5	0.12031173599029898
11101	6	0.17012604245449126
11101	7	0.20404868019113565
11101	8	0.2982777646651087
11101	9	0.25047075381046824
11101	10-11	0.20805595594557502
11101	12-13	0.20295928182741108
11101	14-15	0.21971070547871108
11101	16-17	0.24011289674919567
11101	18-19	0.18677529156202866
11101	20-21	0.25843108474447263
11101	22-23	0.25756636227551155
11101	24-25	0.2883006335075251
11101	26-27	0.24278328907183777
11101	28-29	0.2574883883326322
11101	30-31	0.2817323240126868
11101	32-33	0.30758726456840435
11101	34-35	0.26850253918026823
11101	36-37	0.34103189314387805
11101	38-39	0.3053552121438159
11101	40-41	0.31455792404507577
11101	42-43	0.3569804394127516
11101	44-45	0.3598930520127652
11101	46-47	0.3432389737380106
11101	48-49	0.3327508104753889
11101	50-51	0.36609626644774806
11101	52-53	0.33136930819173926
11101	54-55	0.325609142592576
11101	56-57	0.3455083420709073
11101	58-59	0.37992357827117473
11101	60-61	0.4268366350332613
11101	62-63	0.4121454490363732
11101	64-65	0.4804173232870994
11101	66-67	0.4101097793414894
11101	68-69	0.41681868841411074
11101	70-71	0.38603755296128384
11101	72-73	0.4079671353068619
11101	74-75	0.3469465222863022
11101	76	0.13592843692388357
11102	1	-2.320399659083705E-5
11102	2	0.11346484000033286
11102	3	0.12246153796568038
11102	4	0.12737900131904922
11102	5	0.13499805365528417
11102	6	0.25141263235000366
11102	7	0.3137775782829735
11102	8	0.29967506441666814
11102	9	0.24694300243541534
11102	10-11	0.25981455824919664
11102	12-13	0.2677839647646394
11102	14-15	0.24626390642614382
11102	16-17	0.24507644109092297
11102	18-19	0.20604773463282555
11102	20-21	0.23171420990012592
11102	22-23	0.23707166775877653
11102	24-25	0.23521690128408324
11102	26-27	0.2896194011867834
11102	28-29	0.31587989339958966
11102	30-31	0.3100155487792122
11102	32-33	0.32366989831341897
11102	34-35	0.3552567881155113
11102	36-37	0.30032695317466107
11102	38-39	0.4010418858771061
11102	40-41	0.3059786506037341
11102	42-43	0.31296953942933214
11102	44-45	0.34612934794564865
11102	46-47	0.3664206813128317
11102	48-49	0.38207232760274934
11102	50-51	0.3516687196603314
11102	52-53	0.36026103168649115
11102	54-55	0.3867515646345723
11102	56-57	0.36236816556674967
11102	58-59	0.33096307851936047
11102	60-61	0.3850426883924811
11102	62-63	0.37824146531610836
11102	64-65	0.3220883991691821
11102	66-67	0.3431358754829503
11102	68-69	0.3683273622775687
11102	70-71	0.3600588803705662
11102	72-73	0.4088196431860851
11102	74-75	0.3499564108065627
11102	76	0.08064093059943644
11103	1	-2.320399659083705E-5
11103	2	0.10877568235127555
11103	3	0.08709165890775594
11103	4	0.07890616448476351
11103	5	0.11472422382290404
11103	6	0.14752099644930894
11103	7	0.25815488360866823
11103	8	0.2759860001264016
11103	9	0.20596103765714702
11103	10-11	0.23498057564787445
11103	12-13	0.18359729809797187
11103	14-15	0.20889687905503962
11103	16-17	0.19597574089996073
11103	18-19	0.1985810679661597
11103	20-21	0.23145971382543706
