##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1175.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2419934
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.00000661175057	32.0	32.0	32.0	32.0	32.0
2	31.634908224769767	32.0	32.0	32.0	32.0	32.0
3	31.65619351602151	32.0	32.0	32.0	32.0	32.0
4	31.71711749163407	32.0	32.0	32.0	32.0	32.0
5	31.81782891599523	32.0	32.0	32.0	32.0	32.0
6	35.33378802892972	36.0	36.0	36.0	36.0	36.0
7	35.283812699024026	36.0	36.0	36.0	36.0	36.0
8	35.29024427938944	36.0	36.0	36.0	36.0	36.0
9	35.278764627465044	36.0	36.0	36.0	36.0	36.0
10-11	35.276084595695586	36.0	36.0	36.0	36.0	36.0
12-13	35.2643303495054	36.0	36.0	36.0	36.0	36.0
14-15	35.22700288520265	36.0	36.0	36.0	36.0	36.0
16-17	35.24112227854148	36.0	36.0	36.0	36.0	36.0
18-19	35.22382180671043	36.0	36.0	36.0	36.0	36.0
20-21	35.20812819688471	36.0	36.0	36.0	36.0	36.0
22-23	35.165185496794535	36.0	36.0	36.0	36.0	36.0
24-25	35.15107002918261	36.0	36.0	36.0	36.0	36.0
26-27	35.09288972343874	36.0	36.0	36.0	36.0	36.0
28-29	35.07042547441377	36.0	36.0	36.0	36.0	36.0
30-31	35.0462456827335	36.0	36.0	36.0	36.0	36.0
32-33	35.0039970098358	36.0	36.0	36.0	36.0	36.0
34-35	34.96905659410546	36.0	36.0	36.0	36.0	36.0
36-37	34.959277353594786	36.0	36.0	36.0	36.0	36.0
38-39	34.94354730732674	36.0	36.0	36.0	36.0	36.0
40-41	34.923157405988135	36.0	36.0	36.0	36.0	36.0
42-43	34.892002359982314	36.0	36.0	36.0	36.0	36.0
44-45	34.864315768200804	36.0	36.0	36.0	36.0	36.0
46-47	34.86741559399911	36.0	36.0	36.0	36.0	36.0
48-49	34.82377795785567	36.0	36.0	36.0	36.0	36.0
50-51	34.78813732808501	36.0	36.0	36.0	32.0	36.0
52-53	34.73110328275311	36.0	36.0	36.0	32.0	36.0
54-55	34.67947966300583	36.0	36.0	36.0	32.0	36.0
56-57	34.622808159588416	36.0	36.0	36.0	32.0	36.0
58-59	34.601217814446166	36.0	36.0	36.0	32.0	36.0
60-61	34.55730441641279	36.0	36.0	36.0	32.0	36.0
62-63	34.51485100408249	36.0	36.0	36.0	32.0	36.0
64-65	34.468265947908236	36.0	36.0	36.0	32.0	36.0
66-67	34.41624013839228	36.0	36.0	36.0	32.0	36.0
68-69	34.3981503739459	36.0	36.0	36.0	32.0	36.0
70-71	34.343978236462206	36.0	36.0	36.0	32.0	36.0
72-73	34.33198485024997	36.0	36.0	36.0	32.0	36.0
74-75	34.69076136862142	36.0	36.0	36.0	32.0	36.0
76	35.412281300938105	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0
11101	2	0.1514403690640762
11101	3	0.2557085947774169
11101	4	0.19258217792166477
11101	5	-0.08660369262556955
11101	6	0.4470715525931439
11101	7	0.29339596577447224
11101	8	0.30784532800272757
11101	9	0.38869335340309163
11101	10-11	0.30235901453349356
11101	12-13	0.22356766074147316
11101	14-15	0.26955852526862856
11101	16-17	0.15970015880699862
11101	18-19	0.31794477354796413
11101	20-21	1.5004424191289445E-4
11101	22-23	0.33842581032839547
11101	24-25	0.23502638615369165
11101	26-27	0.36410714259232435
11101	28-29	0.16588059795882515
11101	30-31	0.35374753986793195
11101	32-33	0.30018135470311336
11101	34-35	0.37464395508559534
11101	36-37	0.2791448131110599
11101	38-39	0.3319151985366915
11101	40-41	0.09025258355524102
11101	42-43	0.3367766050844878
11101	44-45	0.4166328699092361
11101	46-47	0.37220637349800256
11101	48-49	0.27821458845810554
11101	50-51	0.34373402236693806
11101	52-53	0.2646123078359537
11101	54-55	0.3258767144503949
11101	56-57	0.39361372452709986
11101	58-59	0.47815367169592804
11101	60-61	0.3758927392282132
11101	62-63	0.42243474466430797
11101	64-65	0.4284751493844752
11101	66-67	0.42974443262210116
11101	68-69	0.3820727979553169
11101	70-71	0.6099428509297766
11101	72-73	0.6378441947819056
11101	74-75	0.36323049334696833
11101	76	0.014167181406378404
11102	1	0.0
11102	2	0.044942868102907596
11102	3	0.11070426951789969
11102	4	0.13064085727575758
11102	5	0.0700427894966893
11102	6	0.35789311160890946
11102	7	0.06132777084943797
11102	8	0.23834681781433886
11102	9	0.17017763829352361
11102	10-11	0.046054348059058725
11102	12-13	0.023812758780685783
11102	14-15	0.1104460444920079
11102	16-17	0.037256267034599944
11102	18-19	0.09204007343262077
11102	20-21	0.2987761736152308
11102	22-23	0.09360410713731682
11102	24-25	0.12039799803373086
11102	26-27	0.16100617181185584
11102	28-29	0.20053974347977999
11102	30-31	0.2027389133781199
11102	32-33	0.12356659115063451
11102	34-35	0.09928111387067418
11102	36-37	0.28441922679810716
11102	38-39	0.005636132967666185
11102	40-41	0.24881639541736433
11102	42-43	0.2022340116895336
11102	44-45	0.25170231435367896
11102	46-47	0.26236103756404816
11102	48-49	0.17861897311078678
11102	50-51	0.2515733426693245
11102	52-53	0.38813627815781615
11102	54-55	0.491326851003862
11102	56-57	0.309469256526981
11102	58-59	0.31225936651293296
11102	60-61	-0.10906542523847662
11102	62-63	0.32215380633027024
11102	64-65	0.08465595634668688
11102	66-67	0.26600573429579555
11102	68-69	0.25023396026971056
11102	70-71	0.39473065298181353
11102	72-73	0.4550858364853241
11102	74-75	0.3193538063944459
11102	76	0.08647162115268259
11103	1	0.0
11103	2	0.16504190163112398
11103	3	0.08738962926017635
11103	4	0.06740258022051293
11103	5	0.022160675190519896
11103	6	0.14519176332111527
11103	7	0.22051521864803192
11103	8	0.06415519390311175
11103	9	0.254893066046769
11103	10-11	0.045827644801690326
11103	12-13	-0.13059900592519824
11103	14-15	-0.0932587640034015
11103	16-17	0.09151888486064053
11103	18-19	0.015969198835314558
11103	20-21	0.006549708992871217
11103	22-23	0.1927122087958253
