##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1191.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2929810
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.317763950563346	32.0	32.0	32.0	21.0	32.0
2	30.142808236711595	32.0	32.0	32.0	21.0	32.0
3	30.913856871264688	32.0	32.0	32.0	32.0	32.0
4	31.259050586898127	32.0	32.0	32.0	32.0	32.0
5	31.271553445445267	32.0	32.0	32.0	32.0	32.0
6	34.585751977090666	36.0	36.0	36.0	32.0	36.0
7	34.546669920575056	36.0	36.0	36.0	32.0	36.0
8	34.37671487229547	36.0	36.0	36.0	32.0	36.0
9	34.71872578767906	36.0	36.0	36.0	32.0	36.0
10-11	34.578953925339874	36.0	36.0	36.0	32.0	36.0
12-13	34.579458394912976	36.0	36.0	36.0	32.0	36.0
14-15	34.49372757960414	36.0	36.0	36.0	32.0	36.0
16-17	34.490138609670936	36.0	36.0	36.0	32.0	36.0
18-19	34.49907997446934	36.0	36.0	36.0	32.0	36.0
20-21	34.48353528044481	36.0	36.0	36.0	32.0	36.0
22-23	34.41914202627474	36.0	36.0	36.0	32.0	36.0
24-25	34.38338612401487	36.0	36.0	36.0	32.0	36.0
26-27	34.23430290701445	36.0	36.0	36.0	32.0	36.0
28-29	34.181125055891	36.0	36.0	36.0	32.0	36.0
30-31	34.14807632576857	36.0	36.0	36.0	32.0	36.0
32-33	34.09191415142961	36.0	36.0	36.0	32.0	36.0
34-35	34.02733385441377	36.0	36.0	36.0	32.0	36.0
36-37	33.97542116203981	36.0	36.0	36.0	32.0	36.0
38-39	33.93959812148462	36.0	36.0	36.0	32.0	36.0
40-41	33.90162234732833	36.0	36.0	36.0	32.0	36.0
42-43	33.8129790288785	36.0	36.0	36.0	32.0	36.0
44-45	33.713371368504255	36.0	36.0	36.0	32.0	36.0
46-47	33.68880390142843	36.0	36.0	36.0	29.5	36.0
48-49	33.62499601198378	36.0	36.0	36.0	27.0	36.0
50-51	33.539512537275385	36.0	36.0	36.0	27.0	36.0
52-53	33.421900541835356	36.0	36.0	36.0	21.0	36.0
54-55	33.314727084826	36.0	36.0	36.0	21.0	36.0
56-57	33.191138077081945	36.0	36.0	36.0	21.0	36.0
58-59	33.12973642437665	36.0	36.0	36.0	21.0	36.0
60-61	33.05550163559632	36.0	36.0	36.0	21.0	36.0
62-63	32.972798837456644	36.0	36.0	36.0	14.0	36.0
64-65	32.87881949961271	36.0	34.0	36.0	14.0	36.0
66-67	32.74925724100693	36.0	32.0	36.0	14.0	36.0
68-69	32.70808050189396	36.0	32.0	36.0	14.0	36.0
70-71	32.624831794644024	36.0	32.0	36.0	14.0	36.0
72-73	32.50825642391089	36.0	32.0	36.0	14.0	36.0
74-75	32.35765990010414	36.0	32.0	36.0	14.0	36.0
76	30.679399592295752	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.31410573231968897
11101	2	-0.04265716644192352
11101	3	0.0735204988194127
11101	4	0.042677145715067866
11101	5	0.1627238658367567
11101	6	0.30250808035232524
11101	7	0.12210059236110027
11101	8	0.3076300043890683
11101	9	0.2372107703534283
11101	10-11	0.3827689579798417
11101	12-13	0.0840189324034526
11101	14-15	0.29663946339228886
11101	16-17	0.20770349174106428
11101	18-19	0.14502296797358127
11101	20-21	0.281425539808545
11101	22-23	0.40338457929851046
11101	24-25	0.35167206538171314
11101	26-27	0.3611454195959283
11101	28-29	0.4793955574206876
11101	30-31	0.7600962229449948
11101	32-33	0.49972139581820585
11101	34-35	0.6805515848299564
11101	36-37	0.5010761413885376
11101	38-39	0.5080830243153329
11101	40-41	0.4042921979295926
11101	42-43	0.5361711429797822
11101	44-45	0.40090492736583627
11101	46-47	0.5747862806504571
11101	48-49	0.5317313823936161
11101	50-51	0.6979593405426243
11101	52-53	0.5570966008473377
11101	54-55	0.5718205762328239
11101	56-57	0.7491439997897515
11101	58-59	0.6215154647544878
11101	60-61	0.8037753053070276
11101	62-63	0.790806874439447
11101	64-65	0.7669154906093496
11101	66-67	0.6391461868832877
11101	68-69	0.25853654683130145
11101	70-71	0.8978676405188466
11101	72-73	0.9863934289611294
11101	74-75	0.7047981499933584
11101	76	1.3261130133628178
11102	1	-0.013417044769251874
11102	2	0.01650026881594613
11102	3	0.12711616311403517
11102	4	0.19447268529397022
11102	5	0.03290488703843053
11102	6	0.3381116677633784
11102	7	-0.015155478360050267
11102	8	0.2850757163691142
11102	9	0.329991013915901
11102	10-11	0.2918067211666937
11102	12-13	0.33798507575316705
11102	14-15	0.28389736816816225
11102	16-17	0.1956629224504809
11102	18-19	0.2620677555900457
11102	20-21	0.37543918517571484
11102	22-23	0.26607348693551813
11102	24-25	0.2609253299991323
11102	26-27	0.16318901507681005
11102	28-29	0.11649573348994124
11102	30-31	0.03598849057026143
11102	32-33	0.20874173548514108
11102	34-35	0.2024203948952561
11102	36-37	0.401461818690116
11102	38-39	0.39183475758795794
11102	40-41	0.2849292144241389
11102	42-43	0.31903860995204525
11102	44-45	0.28297708313779424
11102	46-47	0.44441996846435927
11102	48-49	0.6358060527448259
11102	50-51	0.5478770119470013
11102	52-53	0.6685158618439786
11102	54-55	0.7465733198291815
11102	56-57	0.7004805666327272
11102	58-59	0.6285156653826434
11102	60-61	0.4214425945764546
11102	62-63	0.3850664176001999
11102	64-65	0.46622121046613785
11102	66-67	1.085301613175801
11102	68-69	0.6194331318695063
11102	70-71	1.132951442629924
11102	72-73	0.9654822432981334
11102	74-75	0.8131682706688252
11102	76	0.16950526788498976
11103	1	0.1317207703833141
11103	2	0.1617031655374106
11103	3	0.06615839908008425
11103	4	0.0714685200735623
11103	5	-0.022574192195421006
11103	6	0.030183154936388235
11103	7	0.3248365540781819
11103	8	0.4585851512244403
11103	9	0.12094309810383663
11103	10-11	0.5021355605848257
11103	12-13	0.33243736504665833
11103	14-15	0.49309516880556714
11103	16-17	0.2189542354415508
11103	18-19	0.27548836396466214
11103	20-21	0.4076801999748696
11103	22-23	0.3912253439296123
11103	24-25	0.4718872355874737
11103	26-27	0.45125088595497687
11103	28-29	0.2836311189306002
11103	30-31	0.44598068078200015
11103	32-33	0.4114008106168754
11103	34-35	0.7191769267181627
11103	36-37	0.6410528670213083
11103	38-39	0.6464390683090642
11103	40-41	0.5749996037567939
11103	42-43	0.44166350021436784
11103	44-45	0.4822385886156937
11103	46-47	0.7709715333465681
11103	48-49	0.5285806713111754
11103	50-51	0.7763817156157202
11103	52-53	0.799668511964363
11103	54-55	0.5743389647205106
11103	56-57	0.6914058613412593
11103	58-59	0.7363201519376545
11103	60-61	0.596199216019869
11103	62-63	0.5868402268936919
11103	64-65	0.717755072863099
11103	66-67	0.6253661901915848
11103	68-69	0.5105018908939556
11103	70-71	0.6517309877184161
11103	72-73	0.6185604029307328
11103	74-75	0.8297381262351635
11103	76	1.0550658510926318
11104	1	-0.042388106609280385
11104	2	0.288923859067701
11104	3	0.09889990881744026
11104	4	0.11250832769325214
11104	5	0.2275039487545918
11104	6	0.2562227909170005
11104	7	0.20762693578542724
11104	8	0.4075577558203918
11104	9	0.20299561243569997
11104	10-11	0.31417902321357616
11104	12-13	0.6523662883998753
11104	14-15	0.28144521135399003
11104	16-17	0.4532226103085293
11104	18-19	0.17628097517323482
11104	20-21	0.4794632770841858
11104	22-23	0.4878030413281067
11104	24-25	0.529293281257921
11104	26-27	0.13555241426549003
11104	28-29	0.3224323915892171
11104	30-31	0.48148557972271533
11104	32-33	0.4465651414864382
