##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1168.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3569564
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.00000896468028	32.0	32.0	32.0	32.0	32.0
2	31.636116623766938	32.0	32.0	32.0	32.0	32.0
3	31.651530551070103	32.0	32.0	32.0	32.0	32.0
4	31.714060876902614	32.0	32.0	32.0	32.0	32.0
5	31.835615778285526	32.0	32.0	32.0	32.0	32.0
6	35.33016749384519	36.0	36.0	36.0	36.0	36.0
7	35.275415709033375	36.0	36.0	36.0	36.0	36.0
8	35.281155345582825	36.0	36.0	36.0	36.0	36.0
9	35.27174103055723	36.0	36.0	36.0	36.0	36.0
10-11	35.26954034162155	36.0	36.0	36.0	36.0	36.0
12-13	35.25592089117887	36.0	36.0	36.0	36.0	36.0
14-15	35.21530556673028	36.0	36.0	36.0	36.0	36.0
16-17	35.231919080313446	36.0	36.0	36.0	36.0	36.0
18-19	35.21936432572718	36.0	36.0	36.0	36.0	36.0
20-21	35.19799084706143	36.0	36.0	36.0	36.0	36.0
22-23	35.15627622869348	36.0	36.0	36.0	36.0	36.0
24-25	35.138708256806716	36.0	36.0	36.0	36.0	36.0
26-27	35.0820150584217	36.0	36.0	36.0	36.0	36.0
28-29	35.06103672605394	36.0	36.0	36.0	36.0	36.0
30-31	35.03148241633993	36.0	36.0	36.0	36.0	36.0
32-33	34.99117217116712	36.0	36.0	36.0	36.0	36.0
34-35	34.95348983797461	36.0	36.0	36.0	36.0	36.0
36-37	34.940145987751734	36.0	36.0	36.0	36.0	36.0
38-39	34.92933482544471	36.0	36.0	36.0	36.0	36.0
40-41	34.90239685678904	36.0	36.0	36.0	36.0	36.0
42-43	34.86962607081658	36.0	36.0	36.0	36.0	36.0
44-45	34.841149054264015	36.0	36.0	36.0	36.0	36.0
46-47	34.84751913915888	36.0	36.0	36.0	36.0	36.0
48-49	34.79982233362926	36.0	36.0	36.0	32.0	36.0
50-51	34.756309379028934	36.0	36.0	36.0	32.0	36.0
52-53	34.699949398968116	36.0	36.0	36.0	32.0	36.0
54-55	34.647511623207365	36.0	36.0	36.0	32.0	36.0
56-57	34.583697107826325	36.0	36.0	36.0	32.0	36.0
58-59	34.56477687135432	36.0	36.0	36.0	32.0	36.0
60-61	34.51541096990007	36.0	36.0	36.0	32.0	36.0
62-63	34.46618962209484	36.0	36.0	36.0	32.0	36.0
64-65	34.424955796983554	36.0	36.0	36.0	32.0	36.0
66-67	34.372051246244254	36.0	36.0	36.0	32.0	36.0
68-69	34.35174895067676	36.0	36.0	36.0	32.0	36.0
70-71	34.28964278489255	36.0	36.0	36.0	32.0	36.0
72-73	34.28280735676225	36.0	36.0	36.0	32.0	36.0
74-75	34.650629668000974	36.0	36.0	36.0	32.0	36.0
76	35.40823688185489	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0
11101	2	0.09165589622369197
11101	3	0.014528475485764858
11101	4	0.05605816295977206
11101	5	0.05283852376924614
11101	6	0.008158383318765061
11101	7	0.08211968974666917
11101	8	0.08258278154158205
11101	9	0.22695125781204695
11101	10-11	0.13789852976015737
11101	12-13	0.22602848538012665
11101	14-15	0.2605752864752233
11101	16-17	0.11042393740724066
11101	18-19	0.1854314393611105
11101	20-21	0.19685705331250603
11101	22-23	0.25040935996624825
11101	24-25	0.16152783879351063
11101	26-27	0.18707932987688025
11101	28-29	0.24669023322472583
11101	30-31	0.3158526072941754
11101	32-33	0.2670088159301969
11101	34-35	0.35007198737693557
11101	36-37	0.2967123729301875
11101	38-39	0.14976694496665033
11101	40-41	0.2444241011421724
11101	42-43	0.32614610529869026
11101	44-45	0.34610929705067406
11101	46-47	0.5225758614812648
11101	48-49	0.335095551985809
11101	50-51	0.31133490000331676
11101	52-53	0.4005691936139826
11101	54-55	0.3675801824522793
11101	56-57	0.4145491661472107
11101	58-59	0.47064164122813423
11101	60-61	0.28350012669189084
11101	62-63	0.39934232959186744
11101	64-65	0.28006130630623716
11101	66-67	0.2451058129228727
11101	68-69	0.43661790385354493
11101	70-71	0.37400234439648017
11101	72-73	0.36899578041198566
11101	74-75	0.131456857457259
11101	76	0.0862092972372821
11102	1	0.0
11102	2	-0.023745042937591165
11102	3	0.05269754628198342
11102	4	0.15403074989748688
11102	5	0.1461737978182498
11102	6	0.051908825421051574
11102	7	-0.082561370863516
11102	8	0.2390040111572702
11102	9	0.0017892443286129378
11102	10-11	0.22940622097959107
11102	12-13	0.13437728095747303
11102	14-15	0.10292637282256578
11102	16-17	0.10934316736028649
11102	18-19	0.15131338580824405
11102	20-21	0.13168029401747816
11102	22-23	0.1585323432996688
11102	24-25	0.24617342239573503
11102	26-27	0.33582566382870027
11102	28-29	0.2187480085116178
11102	30-31	0.01978214843281023
11102	32-33	0.2019823714119866
11102	34-35	0.01940192355097281
11102	36-37	0.21175779149340457
11102	38-39	0.18265369328008063
11102	40-41	0.2399967559442331
11102	42-43	0.3230012396471267
11102	44-45	0.19995792794787803
11102	46-47	0.2962860998296577
11102	48-49	0.38330461405961813
11102	50-51	0.2842904167088349
11102	52-53	0.3718243051158865
11102	54-55	0.45069213489340854
11102	56-57	0.3485539347897628
11102	58-59	0.3835772928471357
11102	60-61	0.4453043041593716
11102	62-63	0.5003762704617074
11102	64-65	0.44056114565076854
11102	66-67	0.3801077000484554
11102	68-69	0.3077870125226525
11102	70-71	0.4918464076964497
11102	72-73	0.2560868436767336
11102	74-75	0.32683021005959034
11102	76	0.08998825994404314
11103	1	0.0
11103	2	-0.11872542777610562
11103	3	0.04481361719136956
11103	4	0.027993364116419173
11103	5	0.08771507214787988
11103	6	0.2441455217978188
11103	7	-0.1401978960386714
11103	8	0.09930024675016824
11103	9	-0.10570941351021901
11103	10-11	0.2562737858462114
11103	12-13	0.20085110915272963
11103	14-15	0.08345793626114784
11103	16-17	0.19092357735164
11103	18-19	0.0876875086704203
11103	20-21	0.21287394522325798
11103	22-23	0.175086565934798
11103	24-25	0.1810336415500302
11103	26-27	0.19498799298207103
11103	28-29	0.09127041956047321
11103	30-31	0.11309176236370178
11103	32-33	0.05472463995511134
11103	34-35	0.086839944103275
11103	36-37	0.2966950073701753
11103	38-39	0.09392975075908794
11103	40-41	0.2385940681915386
11103	42-43	0.02594965987100295
11103	44-45	0.20779617099519498
11103	46-47	0.1423550384238368
11103	48-49	0.1676241664307625
11103	50-51	0.036881048828668384
11103	52-53	0.2697359243345616
11103	54-55	0.17055978281833717
11103	56-57	0.142403220187731
11103	58-59	0.29447830885456483
11103	60-61	0.12896259799553178
11103	62-63	0.26591716029064827
11103	64-65	0.4167094569484533
11103	66-67	0.3295781290028046
11103	68-69	0.11638611133223264
11103	70-71	0.18341075441464483
11103	72-73	0.3471546656725266
11103	74-75	0.2581445666387694
11103	76	0.09204587311276669
11104	1	0.0
11104	2	0.00942230354025142
11104	3	0.027905724450768332
11104	4	-0.016136249728774033
11104	5	-0.031212554513047053
