##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1178.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3490501
Sequences flagged as poor quality	0
Sequence length	54-76
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.394173787659707	32.0	32.0	32.0	32.0	32.0
2	31.593367828858952	32.0	32.0	32.0	32.0	32.0
3	31.623076458078653	32.0	32.0	32.0	32.0	32.0
4	31.681326548824938	32.0	32.0	32.0	32.0	32.0
5	31.67477132938796	32.0	32.0	32.0	32.0	32.0
6	35.284101336742204	36.0	36.0	36.0	36.0	36.0
7	35.2298085575681	36.0	36.0	36.0	36.0	36.0
8	35.2294323938025	36.0	36.0	36.0	36.0	36.0
9	35.22240961970789	36.0	36.0	36.0	36.0	36.0
10-11	35.21859627027753	36.0	36.0	36.0	36.0	36.0
12-13	35.206884914228645	36.0	36.0	36.0	36.0	36.0
14-15	35.16557365260746	36.0	36.0	36.0	36.0	36.0
16-17	35.180947663387	36.0	36.0	36.0	36.0	36.0
18-19	35.160222558308966	36.0	36.0	36.0	36.0	36.0
20-21	35.13643413939718	36.0	36.0	36.0	36.0	36.0
22-23	35.088097095517234	36.0	36.0	36.0	36.0	36.0
24-25	35.069132769192734	36.0	36.0	36.0	36.0	36.0
26-27	34.992806190286146	36.0	36.0	36.0	36.0	36.0
28-29	34.96236614743843	36.0	36.0	36.0	36.0	36.0
30-31	34.92846771853095	36.0	36.0	36.0	36.0	36.0
32-33	34.88174605880359	36.0	36.0	36.0	36.0	36.0
34-35	34.83637707022574	36.0	36.0	36.0	36.0	36.0
36-37	34.810551407949745	36.0	36.0	36.0	34.0	36.0
38-39	34.78558865904923	36.0	36.0	36.0	32.0	36.0
40-41	34.7437932262446	36.0	36.0	36.0	32.0	36.0
42-43	34.68349557842842	36.0	36.0	36.0	32.0	36.0
44-45	34.63124305078268	36.0	36.0	36.0	32.0	36.0
46-47	34.6217710580802	36.0	36.0	36.0	32.0	36.0
48-49	34.56054489026074	36.0	36.0	36.0	32.0	36.0
50-51	34.49648001819796	36.0	36.0	36.0	32.0	36.0
52-53	34.40302724451304	36.0	36.0	36.0	32.0	36.0
54-55	34.329948238795964	36.0	36.0	36.0	32.0	36.0
56-57	34.25361208995846	36.0	36.0	36.0	32.0	36.0
58-59	34.20660406818507	36.0	36.0	36.0	32.0	36.0
60-61	34.1296724317377	36.0	36.0	36.0	32.0	36.0
62-63	34.054856644708465	36.0	36.0	36.0	32.0	36.0
64-65	33.98614032632591	36.0	36.0	36.0	32.0	36.0
66-67	33.91110302789119	36.0	36.0	36.0	32.0	36.0
68-69	33.866199129466196	36.0	36.0	36.0	32.0	36.0
70-71	33.764228540153866	36.0	36.0	36.0	29.5	36.0
72-73	33.677459506221794	36.0	36.0	36.0	27.0	36.0
74-75	33.617801434746326	36.0	36.0	36.0	27.0	36.0
76	32.49203488048142	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.02118738467869008
11101	2	0.012910392231155754
11101	3	0.16398287372032883
11101	4	0.07398700538772474
11101	5	0.05214326914281742
11101	6	0.11598859955749674
11101	7	0.2443913674194107
11101	8	0.07012914218168476
11101	9	0.2736246410434333
11101	10-11	0.12734007395190616
11101	12-13	0.12754819218088898
11101	14-15	0.12554045937933722
11101	16-17	0.02183160220734237
11101	18-19	0.1606852317309162
11101	20-21	0.0186009606647346
11101	22-23	0.12935075153090736
11101	24-25	0.22345405735647006
11101	26-27	0.15592476713490555
11101	28-29	0.17205812248302976
11101	30-31	0.2950962642611188
11101	32-33	0.24499052141965194
11101	34-35	0.21893961958267738
11101	36-37	0.4840050695609648
11101	38-39	0.33462483177836333
11101	40-41	0.21395671280622253
11101	42-43	0.49108038284158795
11101	44-45	0.4450531273894853
11101	46-47	0.42182262227602507
11101	48-49	0.6073696723700905
11101	50-51	0.5919055271794988
11101	52-53	0.43940497391959354
11101	54-55	0.4490477602832499
11101	56-57	0.5377751854403741
11101	58-59	0.5051807689035712
11101	60-61	0.5537861117127889
11101	62-63	0.5740978606550868
11101	64-65	0.5522283557488521
11101	66-67	0.5435508686843065
11101	68-69	0.5830655713347213
11101	70-71	0.531110266155352
11101	72-73	0.6255722386103386
11101	74-75	0.4788554302529633
11101	76	0.6294426256967682
11102	1	0.15534069393085304
11102	2	-0.012468068801592125
11102	3	0.0578303505489437
11102	4	0.14066453134730494
11102	5	-0.1164443183918884
11102	6	0.008575517924967357
11102	7	0.059169984591186164
11102	8	0.07202071360941886
11102	9	0.2187793419432822
11102	10-11	0.238204649764441
11102	12-13	0.07179379416726306
11102	14-15	0.24578951872976518
11102	16-17	0.03877723530412425
11102	18-19	0.18297246296341996
11102	20-21	0.18612169604431017
11102	22-23	0.14256680450078107
11102	24-25	0.14619899311053786
11102	26-27	0.20454284873808604
11102	28-29	0.3149818256780179
11102	30-31	0.21889631239420027
11102	32-33	0.16517985465906548
11102	34-35	0.19266526688458185
11102	36-37	0.1971979364729961
11102	38-39	0.3780282515751452
11102	40-41	0.2933564874025194
11102	42-43	0.35299420114507285
11102	44-45	0.34860573039134835
11102	46-47	0.4100667039613839
11102	48-49	0.3526972414733436
11102	50-51	0.3498460182543326
11102	52-53	0.5473089249412482
11102	54-55	0.31212381642286857
11102	56-57	0.40679450324198996
11102	58-59	0.4646748726010159
11102	60-61	0.3860408531148707
11102	62-63	0.35482745839165375
11102	64-65	0.3732495988737412
11102	66-67	0.3584395462572303
11102	68-69	0.37986765631895736
11102	70-71	0.4899441734737593
11102	72-73	0.484970738898582
11102	74-75	0.738168773268363
11102	76	0.25461534954831677
11103	1	0.10454535989055458
11103	2	0.12609090374465382
11103	3	0.002198207270989627
11103	4	0.05968774331855187
11103	5	0.0864777977857969
11103	6	0.06984569584413691
11103	7	0.11685232228412445
11103	8	0.12361727305327719
11103	9	0.3814870124982548
11103	10-11	0.09566016997182203
11103	12-13	0.0915711006359814
11103	14-15	0.10707737073872181
11103	16-17	0.10851624791163772
11103	18-19	-0.0436712273865254
11103	20-21	0.06430303220549405
11103	22-23	0.12524619651208724
