##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	0860.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	31526003
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.08749523369645	32.0	32.0	32.0	32.0	32.0
2	31.28715438490569	32.0	32.0	32.0	32.0	32.0
3	31.398609395551983	32.0	32.0	32.0	32.0	32.0
4	31.44629606233305	32.0	32.0	32.0	32.0	32.0
5	31.47289987887142	32.0	32.0	32.0	32.0	32.0
6	34.85245351273994	36.0	36.0	36.0	32.0	36.0
7	34.83231943484875	36.0	36.0	36.0	32.0	36.0
8	34.82784579447004	36.0	36.0	36.0	32.0	36.0
9	34.82941928921341	36.0	36.0	36.0	32.0	36.0
10-11	34.830751522798494	36.0	36.0	36.0	32.0	36.0
12-13	34.83966646517162	36.0	36.0	36.0	32.0	36.0
14-15	34.8376739512459	36.0	36.0	36.0	32.0	36.0
16-17	34.82190967881339	36.0	36.0	36.0	32.0	36.0
18-19	34.80724207252026	36.0	36.0	36.0	32.0	36.0
20-21	34.786151704673756	36.0	36.0	36.0	32.0	36.0
22-23	34.74904500262846	36.0	36.0	36.0	32.0	36.0
24-25	34.69394141084108	36.0	36.0	36.0	32.0	36.0
26-27	34.60307830650146	36.0	36.0	36.0	32.0	36.0
28-29	34.55620691909469	36.0	36.0	36.0	32.0	36.0
30-31	34.51151135461099	36.0	36.0	36.0	32.0	36.0
32-33	34.46812526472195	36.0	36.0	36.0	32.0	36.0
34-35	34.424094516517044	36.0	36.0	36.0	32.0	36.0
36-37	34.382211444521985	36.0	36.0	36.0	32.0	36.0
38-39	34.343589931056684	36.0	36.0	36.0	32.0	36.0
40-41	34.304846612473725	36.0	36.0	36.0	32.0	36.0
42-43	34.26217256430161	36.0	36.0	36.0	32.0	36.0
44-45	34.22302154485256	36.0	36.0	36.0	32.0	36.0
46-47	34.18114028678362	36.0	36.0	36.0	32.0	36.0
48-49	34.13192606939835	36.0	36.0	36.0	32.0	36.0
50-51	34.07740046802007	36.0	36.0	36.0	32.0	36.0
52-53	34.0225473750268	36.0	36.0	36.0	32.0	36.0
54-55	33.96165520189976	36.0	36.0	36.0	32.0	36.0
56-57	33.890692307050585	36.0	36.0	36.0	32.0	36.0
58-59	33.82744180937402	36.0	36.0	36.0	29.5	36.0
60-61	33.76340224862675	36.0	36.0	36.0	27.0	36.0
62-63	33.69470175450448	36.0	36.0	36.0	27.0	36.0
64-65	33.61617810990773	36.0	36.0	36.0	27.0	36.0
66-67	33.544419189257106	36.0	36.0	36.0	27.0	36.0
68-69	33.480893126493086	36.0	36.0	36.0	27.0	36.0
70-71	33.41629630228191	36.0	36.0	36.0	27.0	36.0
72-73	33.35746567658403	36.0	36.0	36.0	27.0	36.0
74-75	33.27400600903037	36.0	36.0	36.0	27.0	36.0
76	32.25946738729608	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
11101	1	0.04838551650687606
11101	2	0.057048758391790244
11101	3	0.056277338371632624
11101	4	0.004597473082878167
11101	5	0.08515109876784877
11101	6	0.1794104010852422
11101	7	0.33693337692960057
11101	8	0.18584959304818227
11101	9	0.2464373258520709
11101	10-11	0.2487869571847483
11101	12-13	0.2502050703420977
11101	14-15	0.2782078944125388
11101	16-17	0.17892709003388774
11101	18-19	0.18519212874861068
11101	20-21	0.20385559783516527
11101	22-23	0.2649458367289341
11101	24-25	0.2543586021681534
11101	26-27	0.2587571048078985
11101	28-29	0.2635791850689131
11101	30-31	0.27531466306162855
11101	32-33	0.2500284693700152
11101	34-35	0.26026130987556684
11101	36-37	0.300096540154172
11101	38-39	0.38137229841867537
11101	40-41	0.30278046339041254
11101	42-43	0.3210455597821351
11101	44-45	0.31482727686227463
11101	46-47	0.38056788206993275
11101	48-49	0.35890558264111405
11101	50-51	0.44346034283598357
11101	52-53	0.30686636323194705
11101	54-55	0.3199347614810293
11101	56-57	0.40572571356079834
11101	58-59	0.3616126433228928
11101	60-61	0.45091960589748226
11101	62-63	0.4174827492006088
11101	64-65	0.5773265563667493
11101	66-67	0.5808290465219343
11101	68-69	0.44898653006659117
11101	70-71	0.48038101304690883
11101	72-73	0.45551496604440445
11101	74-75	0.5300886235566509
11101	76	0.6648740631306396
11102	1	0.1216807390466883
11102	2	0.09565413843467496
11102	3	0.07030303120745884
11102	4	0.13260780983884501
11102	5	0.08349949309803151
11102	6	0.1927157726632842
11102	7	0.29082748584171725
11102	8	0.22209900419512962
11102	9	0.27088619431123107
11102	10-11	0.2526355249784018
11102	12-13	0.29290112142425784
11102	14-15	0.26459664650356984
11102	16-17	0.2505639930596928
11102	18-19	0.2567918104246729
11102	20-21	0.2784813507852064
11102	22-23	0.2016461449281195
11102	24-25	0.28920791533344925
11102	26-27	0.302128588857947
11102	28-29	0.29302073290757136
11102	30-31	0.2985229210764828
11102	32-33	0.338381410558398
11102	34-35	0.400706580119099
11102	36-37	0.3927538820447438
11102	38-39	0.3436644480083828
11102	40-41	0.34271373385202963
11102	42-43	0.3235092116538638
11102	44-45	0.3302236144838986
11102	46-47	0.41820538050239264
11102	48-49	0.3849699656403516
11102	50-51	0.37440931569710756
11102	52-53	0.4284479158418151
11102	54-55	0.41964430506209993
11102	56-57	0.42761507231006846
11102	58-59	0.38093845224749145
11102	60-61	0.3970054128072604
11102	62-63	0.4319190155380639
11102	64-65	0.34896972958322436
11102	66-67	0.31123320262279464
11102	68-69	0.4530033167344314
11102	70-71	0.4487946657073749
11102	72-73	0.576363305954402
11102	74-75	0.4859927539063449
11102	76	0.6022407495753228
11103	1	0.0799634480009992
11103	2	0.1677493759187918
11103	3	0.13204375594437678
11103	4	0.09259140942082666
11103	5	0.08849115629829996
11103	6	0.24599478311534284
11103	7	0.32269051807980276
11103	8	0.35525301703220435
11103	9	0.2773787384748374
11103	10-11	0.2613801224749892
11103	12-13	0.286162679922505
11103	14-15	0.22474959304795306
11103	16-17	0.28011251468769416
11103	18-19	0.2658331459425227
11103	20-21	0.17107717377118803
11103	22-23	0.2873669833497061
